PartNum,RefCat
"TR07932C","LATITUDE"
"TR07925C","LATITUDE"
"TR07938C","LATITUDE"
"TR07928C","LATITUDE"
"TR07949C","LATITUDE"
"TR07921C","LATITUDE"
"TR07920C","LATITUDE"
"TR07916C","LATITUDE"
"TR07936C","LATITUDE"
"TR07924C","LATITUDE"
"TR07914C","LATITUDE"
"TR07914-SFG","LATITUDE"
"TR07935C","LATITUDE"
"TR07950C","LATITUDE"
"TR07933C","LATITUDE"
"TR07929C","LATITUDE"
"TR07915C","LATITUDE"
"TR07927C","LATITUDE"
"TR07894C","LATITUDE"
"TR07934C","LATITUDE"
"TR08293M","LATITUDE"
"TR08293-01-M","LATITUDE"
"TR08295M","LATITUDE"
"TR08295-01-M","LATITUDE"
"TR08294M","LATITUDE"
"TR08294-01-M","LATITUDE"
"TR08301M","LATITUDE"
"TR08930M","LATITUDE"
"TR08939M","LATITUDE"
"TR08303M","LATITUDE"
"TR07917C","LATITUDE"
"TR07895C","LATITUDE"
"TR07923C","LATITUDE"
"TR07931C","LATITUDE"
"TR07939C","LATITUDE"
"TR07944C","LATITUDE"
"TR07930C","LATITUDE"
"TR07937C","LATITUDE"
"TR07940C","LATITUDE"
"TR07951C","LATITUDE"
"TR07922C","LATITUDE"
"TR07941C","LATITUDE"
"TR07918C","LATITUDE"
"TR07919C","LATITUDE"
"TR07926C","LATITUDE"
"TR07929-01-C","LATITUDE"
"TR07945C","LATITUDE"
"TR07946C","LATITUDE"
"TR07918-01-C","LATITUDE"
"TR07935-01-C","LATITUDE"
"TR08927M","LATITUDE"
"TR08929M","LATITUDE"
"TR08929-01-M","LATITUDE"
"TR08933M","LATITUDE"
"TR08292M","LATITUDE"
"TR08299M","LATITUDE"
"TR07916-SFG","LATITUDE"
"TR07949-SFG","LATITUDE"
"TR07921-01-C","LATITUDE"
"TR07920-01-C","LATITUDE"
"TR07936-01-C","LATITUDE"
"TR07924-01-C","LATITUDE"
"TR07937-01-C","LATITUDE"
"TR07950-SFG","LATITUDE"
"TR07933-01-C","LATITUDE"
"TR07915-SFG","LATITUDE"
"TR07927-01-C","LATITUDE"
"TR07894-SFG","LATITUDE"
"TR07934-01-C","LATITUDE"
"TR08301-01-M","LATITUDE"
"TR08930-01-M","LATITUDE"
"TR08939-01-M","LATITUDE"
"TR08303-01-M","LATITUDE"
"TR07917-SFG","LATITUDE"
"TR07895-SFG","LATITUDE"
"TR07923-01-C","LATITUDE"
"TR07931-01-C","LATITUDE"
"TR07939-01-C","LATITUDE"
"TR07944-SFG","LATITUDE"
"TR07930-01-C","LATITUDE"
"TR07940-01-C","LATITUDE"
"TR07928-01-C","LATITUDE"
"TR07922-01-C","LATITUDE"
"TR07941-01-C","LATITUDE"
"TR07919-01-C","LATITUDE"
"TR07925-01-C","LATITUDE"
"TR07926-01-C","LATITUDE"
"TR07938-01-C","LATITUDE"
"TR07945-SFG","LATITUDE"
