PackNum,ShipDtl_LotNum,PartNum,ShipDtl_LineDesc,Part_RefCategory,OrderQty,ShipQty,UnitPrice,Ship$,ShipDate,OnTime,Customer,PartLot_MfgLot,CumulativeMonthlyShipments
"101367","200626","SN07427T","Stiktite Coated Shell Size 52mm","ACETABSH","1392","48",60.58,2907.84,2025-01-31 00:00:00.000,0,"SMITH & NEPHEW, INC","",
"101368","200627","SN07427T","Stiktite Coated Shell Size 52mm","ACETABSH","1392","48",60.58,2907.84,2025-01-31 00:00:00.000,0,"SMITH & NEPHEW, INC","",
"101382","200623","SN07427T","Stiktite Coated Shell Size 52mm","ACETABSH","1392","48",60.58,2907.84,2025-01-31 00:00:00.000,0,"SMITH & NEPHEW, INC","",
"101336","200624","SN07427T","Stiktite Coated Shell Size 52mm","ACETABSH","48","48",60.58,2907.84,2025-01-31 00:00:00.000,1,"SMITH & NEPHEW, INC","",
"101299","200620","SN07427T","Stiktite Coated Shell Size 52mm","ACETABSH","1488","48",60.58,2907.84,2025-01-30 00:00:00.000,1,"SMITH & NEPHEW, INC","",
"101298","200622","SN07427T","Stiktite Coated Shell Size 52mm","ACETABSH","192","48",60.58,2907.84,2025-01-30 00:00:00.000,0,"SMITH & NEPHEW, INC","",
"101308","200480","SN07427T","Stiktite Coated Shell Size 52mm","ACETABSH","48","48",60.58,2907.84,2025-01-30 00:00:00.000,1,"SMITH & NEPHEW, INC","",
"101292","200619","SN07427T","Stiktite Coated Shell Size 52mm","ACETABSH","192","48",60.58,2907.84,2025-01-29 00:00:00.000,0,"SMITH & NEPHEW, INC","",
"101293","200631","SN07427T","Stiktite Coated Shell Size 52mm","ACETABSH","192","48",60.58,2907.84,2025-01-29 00:00:00.000,0,"SMITH & NEPHEW, INC","",
"101248","200463","SN07427T","Stiktite Coated Shell Size 52mm","ACETABSH","48","48",60.58,2907.84,2025-01-28 00:00:00.000,0,"SMITH & NEPHEW, INC","",
"101249","200472","SN07427T","Stiktite Coated Shell Size 52mm","ACETABSH","192","48",60.58,2907.84,2025-01-28 00:00:00.000,0,"SMITH & NEPHEW, INC","",
"101244","200454","SN07427T","Stiktite Coated Shell Size 52mm","ACETABSH","48","48",60.58,2907.84,2025-01-27 00:00:00.000,1,"SMITH & NEPHEW, INC","",
"101243","200462","SN07427T","Stiktite Coated Shell Size 52mm","ACETABSH","1296","48",60.58,2907.84,2025-01-27 00:00:00.000,0,"SMITH & NEPHEW, INC","",
"101242","200471","SN07427T","Stiktite Coated Shell Size 52mm","ACETABSH","1296","48",60.58,2907.84,2025-01-27 00:00:00.000,0,"SMITH & NEPHEW, INC","",
"101206","200470","SN07427T","Stiktite Coated Shell Size 52mm","ACETABSH","48","48",60.58,2907.84,2025-01-24 00:00:00.000,1,"SMITH & NEPHEW, INC","",
"101158","200469","SN07427T","Stiktite Coated Shell Size 52mm","ACETABSH","1392","48",60.58,2907.84,2025-01-23 00:00:00.000,1,"SMITH & NEPHEW, INC","",
"101157","200468","SN07427T","Stiktite Coated Shell Size 52mm","ACETABSH","1392","48",60.58,2907.84,2025-01-23 00:00:00.000,1,"SMITH & NEPHEW, INC","",
"101156","200467","SN07427T","Stiktite Coated Shell Size 52mm","ACETABSH","1392","48",60.58,2907.84,2025-01-23 00:00:00.000,1,"SMITH & NEPHEW, INC","",
"101155","200466","SN07427T","Stiktite Coated Shell Size 52mm","ACETABSH","1392","48",60.58,2907.84,2025-01-23 00:00:00.000,1,"SMITH & NEPHEW, INC","",
"101154","200465","SN07427T","Stiktite Coated Shell Size 52mm","ACETABSH","1392","48",60.58,2907.84,2025-01-23 00:00:00.000,1,"SMITH & NEPHEW, INC","",
"101159","200473","SN07427T","Stiktite Coated Shell Size 52mm","ACETABSH","1392","48",60.58,2907.84,2025-01-23 00:00:00.000,1,"SMITH & NEPHEW, INC","",
"101150","200448","SN07427T","Stiktite Coated Shell Size 52mm","ACETABSH","1392","48",60.58,2907.84,2025-01-23 00:00:00.000,1,"SMITH & NEPHEW, INC","",
"101149","200446","SN07427T","Stiktite Coated Shell Size 52mm","ACETABSH","1392","48",60.58,2907.84,2025-01-23 00:00:00.000,1,"SMITH & NEPHEW, INC","",
"101151","200453","SN07427T","Stiktite Coated Shell Size 52mm","ACETABSH","1392","48",60.58,2907.84,2025-01-23 00:00:00.000,1,"SMITH & NEPHEW, INC","",
"101160","200474","SN07427T","Stiktite Coated Shell Size 52mm","ACETABSH","1392","48",60.58,2907.84,2025-01-23 00:00:00.000,1,"SMITH & NEPHEW, INC","",
"101152","200455","SN07427T","Stiktite Coated Shell Size 52mm","ACETABSH","1392","48",60.58,2907.84,2025-01-23 00:00:00.000,1,"SMITH & NEPHEW, INC","",
"101162","200476","SN07427T","Stiktite Coated Shell Size 52mm","ACETABSH","1392","48",60.58,2907.84,2025-01-23 00:00:00.000,1,"SMITH & NEPHEW, INC","",
"101161","200475","SN07427T","Stiktite Coated Shell Size 52mm","ACETABSH","1392","48",60.58,2907.84,2025-01-23 00:00:00.000,1,"SMITH & NEPHEW, INC","",
"101163","200479","SN07427T","Stiktite Coated Shell Size 52mm","ACETABSH","1392","48",60.58,2907.84,2025-01-23 00:00:00.000,1,"SMITH & NEPHEW, INC","",
"101088","200459","SN07427T","Stiktite Coated Shell Size 52mm","ACETABSH","1296","48",60.58,2907.84,2025-01-21 00:00:00.000,1,"SMITH & NEPHEW, INC","",
"101087","200457","SN07427T","Stiktite Coated Shell Size 52mm","ACETABSH","1296","48",60.58,2907.84,2025-01-21 00:00:00.000,1,"SMITH & NEPHEW, INC","",
"101086","200443","SN07427T","Stiktite Coated Shell Size 52mm","ACETABSH","1296","48",60.58,2907.84,2025-01-21 00:00:00.000,1,"SMITH & NEPHEW, INC","",
"101085","200434","SN07427T","Stiktite Coated Shell Size 52mm","ACETABSH","1296","48",60.58,2907.84,2025-01-21 00:00:00.000,1,"SMITH & NEPHEW, INC","",
"101065","200419","SN07427T","Stiktite Coated Shell Size 52mm","ACETABSH","1296","48",60.58,2907.84,2025-01-20 00:00:00.000,1,"SMITH & NEPHEW, INC","",
"101079","200431","SN07427T","Stiktite Coated Shell Size 52mm","ACETABSH","48","48",60.58,2907.84,2025-01-20 00:00:00.000,1,"SMITH & NEPHEW, INC","",
"101068","200441","SN07427T","Stiktite Coated Shell Size 52mm","ACETABSH","1296","48",60.58,2907.84,2025-01-20 00:00:00.000,1,"SMITH & NEPHEW, INC","",
"101070","200445","SN07427T","Stiktite Coated Shell Size 52mm","ACETABSH","1296","48",60.58,2907.84,2025-01-20 00:00:00.000,1,"SMITH & NEPHEW, INC","",
"101071","200452","SN07427T","Stiktite Coated Shell Size 52mm","ACETABSH","1296","48",60.58,2907.84,2025-01-20 00:00:00.000,1,"SMITH & NEPHEW, INC","",
"101073","200458","SN07427T","Stiktite Coated Shell Size 52mm","ACETABSH","1296","48",60.58,2907.84,2025-01-20 00:00:00.000,1,"SMITH & NEPHEW, INC","",
"101074","200460","SN07427T","Stiktite Coated Shell Size 52mm","ACETABSH","1296","48",60.58,2907.84,2025-01-20 00:00:00.000,1,"SMITH & NEPHEW, INC","",
"101075","200461","SN07427T","Stiktite Coated Shell Size 52mm","ACETABSH","1296","48",60.58,2907.84,2025-01-20 00:00:00.000,1,"SMITH & NEPHEW, INC","",
"101076","200477","SN07427T","Stiktite Coated Shell Size 52mm","ACETABSH","1296","48",60.58,2907.84,2025-01-20 00:00:00.000,1,"SMITH & NEPHEW, INC","",
"101077","200478","SN07427T","Stiktite Coated Shell Size 52mm","ACETABSH","1296","48",60.58,2907.84,2025-01-20 00:00:00.000,1,"SMITH & NEPHEW, INC","",
"101069","200444","SN07427T","Stiktite Coated Shell Size 52mm","ACETABSH","1296","48",60.58,2907.84,2025-01-20 00:00:00.000,1,"SMITH & NEPHEW, INC","",
"101058","200435","SN07427T","Stiktite Coated Shell Size 52mm","ACETABSH","1296","48",60.58,2907.84,2025-01-17 00:00:00.000,0,"SMITH & NEPHEW, INC","",
"101055","200430","SN07427T","Stiktite Coated Shell Size 52mm","ACETABSH","1296","48",60.58,2907.84,2025-01-17 00:00:00.000,0,"SMITH & NEPHEW, INC","",
"101054","200429","SN07427T","Stiktite Coated Shell Size 52mm","ACETABSH","1296","48",60.58,2907.84,2025-01-17 00:00:00.000,0,"SMITH & NEPHEW, INC","",
